topic,title,content,url
Du lịch,Đại tiệc buffet đãi hàng trăm con khỉ hoang,"Monkey Buffet Festival là dịp người dân Lopburi đãi khỉ hoang rau quả, bánh kẹo, nước ngọt... Họ tin rằng chúng mang lại may mắn cho thành phố.",https://vnexpress.net/dai-tiec-buffet-dai-hang-tram-con-khi-hoang-4201107.html
Du lịch,Nhiễm nCoV vẫn cố tình lên máy bay,"Nhận kết quả xét nghiệm dương tính với nCoV, một cặp đôi lên máy bay tới Hawaii, thay vì đi cách ly.",https://vnexpress.net/nhiem-ncov-van-co-tinh-len-may-bay-4201031.html
Du lịch,Ăn cua vào thời điểm nào ngon nhất?,"Tôi được biết không nên ăn cua, ghẹ biển vào ngày 15 âm lịch hàng tháng.",https://vnexpress.net/an-cua-vao-thoi-diem-nao-ngon-nhat-4200147.html
Khoa học,Tàu Trung Quốc mang đất đá Mặt Trăng về Trái Đất,Tàu Hằng Nga 5 kết thúc hoạt động lấy mẫu vật trên bề mặt Mặt Trăng và bắt đầu hành trình kéo đất đá về Trái Đất.,https://vnexpress.net/tau-trung-quoc-mang-dat-da-mat-trang-ve-trai-dat-4201227.html
Khoa học,Hài cốt người đàn ông nằm dưới hố sâu 130.000 năm,"Các nhà khoa học sử dụng ảnh chụp, ảnh X-quang và video để phân tích hài cốt một người đàn ông Neanderthal bị ngã và chết đói dưới hố sâu.",https://vnexpress.net/hai-cot-nguoi-dan-ong-nam-duoi-ho-sau-130-000-nam-4200658.html
Khoa học,"Bản đồ 1,8 tỷ ngôi sao trong dải Ngân Hà",Bản đồ mới lập theo dữ liệu của đài quan sát không gian Gaia thể hiện vị trí và chuyển động của lượng lớn sao với độ chính xác cao.,https://vnexpress.net/ban-do-1-8-ty-ngoi-sao-trong-dai-ngan-ha-4201229.html
Khoa học,2020 là một trong ba năm nóng nhất lịch sử,"Trong báo cáo tạm thời về Khí hậu Toàn cầu năm 2020, Liên Hợp Quốc cảnh báo thế giới đang trên bờ vực của ""thảm họa khí hậu"".",https://vnexpress.net/2020-la-mot-trong-ba-nam-nong-nhat-lich-su-4201257.html
Khoa học,Thiên thạch sáng gấp 10 lần trăng tròn phát nổ,"Một thiên thạch bốc cháy trong khí quyển Trái Đất phía trên Mỹ và Canada, kèm theo tiếng nổ siêu thanh.",https://vnexpress.net/thien-thach-sang-gap-10-lan-trang-tron-phat-no-4201220.html
Khoa học,Thử nghiệm phóng khinh khí cầu lên cao 32.000 m,Công ty du lịch vũ trụ Space Perspective dự định tiến hành chuyến bay thử nghiệm không chở người đầu tiên vào mùa xuân năm sau.,https://vnexpress.net/thu-nghiem-phong-khinh-khi-cau-len-cao-32-000-m-4201234.html
Thời sự,Gần 100 con lợn bệnh bị vứt bên đường,"Gần 100 con lợn loại 30 đến 40 kg nhiễm dịch tả châu Phi bị vứt bỏ bên lề đường, khiến cơ quan chức năng phải đào hố tiêu hủy.",https://vnexpress.net/gan-100-con-lon-benh-bi-vut-ben-duong-4201152.html
Thời sự,56 căn nhà ở Sài Gòn bị phong tỏa,"UBND quận 6 phong tỏa 56 căn nhà ở đường Bình Tiên và Hoàng Lê Kha sau khi ghi nhận thêm 2 ca dương tính nCoV liên quan ""bệnh nhân 1347"".",https://vnexpress.net/56-can-nha-o-sai-gon-bi-phong-toa-4199999.html
Thời sự,Dừng chuyến bay thương mại từ nước ngoài,"Chính phủ chủ trương dừng các chuyến bay thương mại đón khách về Việt Nam, chỉ thực hiện chuyến bay giải cứu những người khó khăn, thực sự cần thiết.",https://vnexpress.net/dung-chuyen-bay-thuong-mai-tu-nuoc-ngoai-4199991.html
Thời sự,TP HCM nghiên cứu hình thức xử lý 'bệnh nhân 1342',"Các cơ quan chức năng liên quan pháp luật của TP HCM nghiên cứu các quy định, đặc biệt Luật phòng chống bệnh truyền nhiễm 2007 để xử lý ""bệnh nhân 1342"".",https://vnexpress.net/tp-hcm-nghien-cuu-hinh-thuc-xu-ly-benh-nhan-1342-4199990.html
Thời sự,Ruộng nương bị vùi lấp sau lũ,"Hơn một tháng sau lũ, một ha ruộng lúa và rẫy sắn của anh Hồ Văn Rào vẫn ngổn ngang đá tảng, gỗ rừng và cát sỏi.",https://vnexpress.net/ruong-nuong-bi-vui-lap-sau-lu-4199831.html
Thời sự,5 hình thức cách ly tại Việt Nam,"Việt Nam hiện áp dụng 5 hình thức cách ly để phòng, chống Covid-19, trong đó một hình thức riêng với tổ bay của các hãng hàng không nội địa.",https://vnexpress.net/5-hinh-thuc-cach-ly-tai-viet-nam-4199678.html
Thời sự,Lên phương án thay mới nhịp cầu bị sập,"Sau hai ngày cầu Thiên Hộ ở huyện Cái Bè bị xe quá tải làm sập, cơ quan chức năng đang thẩm định kết cấu cầu để thi công lại nhịp chính.",https://vnexpress.net/len-phuong-an-thay-moi-nhip-cau-bi-sap-4199873.html
